Filename,Init. Timestamp,Fin. Timestamp,_time (s),_time (min),# of Frames
com.amanotes.beathopper.apk.pcap,1552708774,1552709132,358.00563,5.9667605,1122
com.brokenreality.planemerger.android.apk.pcap,1552712694,1552714489,1795.70926,29.92848767,26119
com.circleball.hoppingball.apk.pcap,1552714548,1552716312,1764.29163,29.4048605,17652
com.fullfat.bw.apk.pcap,1552716384,1552718138,1754.87747,29.24795783,824
com.gpp.sushibar.apk.pcap,1552718207,1552719984,1776.21913,29.60365217,226
com.h8games.helixjump.apk.pcap,1552720054,1552721805,1750.33935,29.1723225,1076
com.halfbrick.fruitninjafree.apk.pcap,1552721895,1552723671,1776.43728,29.607288,16307
com.kiloo.subwaysurf.apk.pcap,1552723762,1552725538,1776.00627,29.6001045,997
com.king.candycrushsaga.apk.pcap,1552725613,1552727404,1791.61942,29.86032367,5118
com.love.poly.puzzle.game.apk.pcap,1552727431,1552729211,1779.37368,29.656228,581
com.luckyday.app.apk.pcap,1552729301,1552731047,1746.1964,29.10327334,5404
com.magjg.roundhit.apk.pcap,1552731107,1552732901,1794.02672,29.90044533,37072
com.matchington.mansion.apk.pcap,1552732950,1552734741,1791.75182,29.86253033,79637
com.mindy.grap1.apk.pcap,1552734805,1552736602,1796.84267,29.94737783,6325
com.ohbibi.fps.apk.pcap,1552741290,1552743070,1780.28924,29.67148733,7837
com.outfit7.mytalkingtom2.apk.pcap,1552743157,1552744928,1770.88462,29.51474367,23679
com.parking.game.apk.pcap,1552744961,1552746742,1780.45737,29.6742895,17710
com.peoplefun.wordcross.apk.pcap,1552746830,1552748576,1746.28082,29.10468033,2657
com.playgendary.kickthebuddy.apk.pcap,1552748667,1552750443,1775.86147,29.59769117,597
com.playrix.gardenscapes.apk.pcap,1552750503,1552752301,1797.8882,29.96480333,120602
com.playrix.homescapes.apk.pcap,1552752369,1552754156,1786.41654,29.773609,33464
com.playrix.township.apk.pcap,1552754236,1552756004,1767.47392,29.45789867,16521
com.roblox.client.apk.pcap,1552756073,1552757849,1775.99064,29.599844,2867
com.sausageflip.game.apk.pcap,1552757909,1552759686,1776.50764,29.60846066,13241
com.snow.drift.apk.pcap,1552759746,1552761523,1776.67207,29.61120116,15335
com.word.game.fun.puzzle.prison.escape.captain.apk.pcap,1552761561,1552763359,1798.18674,29.969779,1290
com.youmusic.magictiles.apk.pcap,1552763420,1552765193,1773.19316,29.55321933,35760
io.voodoo.crowdcity.apk.pcap,1552765256,1552767032,1775.80606,29.59676766,237
io.voodoo.holeio.apk.pcap,1552767123,1552768904,1781.02542,29.683757,1073
io.voodoo.paper2.apk.pcap,1552768959,1552770736,1776.18714,29.603119,1165